Rank,Relative Frequency,Word
1,1.0,said
2,0.42654,say
3,0.39692,time
4,0.36845,one
5,0.33428,also
6,0.32232,woman
7,0.32118,would
8,0.28872,claim
9,0.28474,told
10,0.24089,case
11,0.23747,allegation
12,0.2221,show
13,0.21583,people
14,0.20672,lawsuit
15,0.1885,made
16,0.18508,claimed
17,0.18508,actor
18,0.18166,according
19,0.18166,like
20,0.17654,could
21,0.17198,two
22,0.17198,work
23,0.16743,first
24,0.16743,asked
25,0.16458,alleged
26,0.16344,allegedly
27,0.16287,never
28,0.16173,sexual assault
29,0.16116,year
30,0.15831,back
31,0.15604,former
32,0.15034,including
33,0.15034,new york
34,0.14522,accused
35,0.14465,incident
36,0.14237,life
37,0.14123,lawyer
38,0.13838,way
39,0.13781,another
40,0.13497,story
41,0.13326,child
42,0.13269,set
43,0.13155,company
44,0.13098,home
45,0.13041,day
46,0.12984,even
47,0.12984,new
48,0.12927,statement
49,0.1287,plaintiff
50,0.12642,since
51,0.12585,later
52,0.12528,relationship
53,0.12472,charge
54,0.12472,victim
55,0.12358,know
56,0.12244,may
57,0.12244,report
58,0.12187,filed
59,0.11902,wrote
60,0.11674,friend
61,0.1156,im
62,0.11446,get
63,0.11333,sexual harassment
64,0.11219,star
65,0.11219,sex
66,0.11048,million
67,0.1082,still
68,0.1082,make
69,0.10649,called
70,0.10649,name
71,0.10592,film
72,0.10592,right
73,0.10535,thing
74,0.10535,didnt
75,0.10535,saying
76,0.10478,family
77,0.10364,career
78,0.10251,court
79,0.10251,take
80,0.10251,got
81,0.10251,los angeles
82,0.10194,want
83,0.10137,comment
84,0.10137,going
85,0.1008,actress
86,0.10023,complaint
87,0.09909,part
88,0.09909,behavior
89,0.09852,went
90,0.09795,investigation
91,0.09738,accusation
92,0.09624,go
93,0.0951,began
94,0.0951,man
95,0.09453,many
96,0.09396,judge
97,0.09282,following
98,0.09226,well
99,0.09226,defendant
100,0.09226,wanted
